jira_id,affected versions,fixed version,commit date,created,resolution date
2021-03-17T16:48:40Z,dd54534420cc49431612cb4fa605df963ab28879,SYNCOPE-1622,2021-03-17T16:52:56.000+0000,[2.0.16  2.1.8],[2.0.17  2.1.9  3.0.0],2021-03-17T15:46:59.000+0000
2021-03-04T07:59:15Z,e554c1bec98f4c7c341b1b2ae203bb0e28544bc0,SYNCOPE-1620,2021-03-04T09:02:51.000+0000,[2.0.16  2.1.8],[2.0.17  2.1.9  3.0.0],2021-03-04T07:56:56.000+0000
2021-02-27T15:03:56Z,062803068e88ac7838c4b1bc7c0de84c09184fde,SYNCOPE-1619,2021-02-26T15:40:05.000+0000,[2.1.8],[2.1.9  3.0.0],2021-02-26T11:32:24.000+0000
2021-02-26T15:37:13Z,7326c254f1e3ed1519ccdb7a1e5f26fe23d28d7d,SYNCOPE-1619,2021-02-26T15:40:05.000+0000,[2.1.8],[2.1.9  3.0.0],2021-02-26T11:32:24.000+0000
2021-02-05T11:39:58Z,95b56b8099933f1cf2f0145a33261d7cd10cc1ae,SYNCOPE-1616,2021-02-05T11:44:03.000+0000,[2.1.7  2.1.8],[2.1.9  3.0.0],2021-02-05T11:34:47.000+0000
2021-01-26T14:43:14Z,64a55eb422229a1ea5fbe6efe3c0516d607e3fa3,SYNCOPE-1613,2021-01-26T14:43:39.000+0000,[2.1.3],[2.1.9  3.0.0],2021-01-26T13:26:18.000+0000
2022-02-04T14:52:04Z,c23c02bf222bf7192e6ac82a49fee4b313b92a14,SYNCOPE-1612,2021-02-16T08:31:11.000+0000,[3.0.0],[3.0.0],2021-01-25T15:02:39.000+0000
2021-02-16T08:30:38Z,6c5201ab6e9bf68a626052b47e72867b60c92963,SYNCOPE-1612,2021-02-16T08:31:11.000+0000,[3.0.0],[3.0.0],2021-01-25T15:02:39.000+0000
2021-01-08T15:21:12Z,44ae5f248548a350fe693ccef1563d67bdcd37f3,SYNCOPE-1607,2021-01-08T15:21:52.000+0000,[2.0.16  2.1.8],[2.0.17  2.1.9  3.0.0],2021-01-08T15:04:15.000+0000
2020-12-22T16:05:04Z,15094166cffac64ab1f1609a83569f8fba6f6f40,SYNCOPE-1606,2020-12-22T16:48:18.000+0000,[2.1.8],[2.1.9  3.0.0],2020-12-22T14:25:16.000+0000
2020-12-02T08:24:19Z,44db3ed2b914b7b2cedff8c34c7f2ef817e432a1,SYNCOPE-1605,2020-12-02T08:25:49.000+0000,[2.1.7  3.0.0],[2.1.8  3.0.0],2020-12-01T11:27:47.000+0000
