jira_id,affected versions,fixed version,commit date,created,resolution date
2019-03-07T11:21:16Z,950e11d101b690daf30c6927bb793d0b159d01ed,SYNCOPE-1439,2019-03-07T11:12:22.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-02-20T12:05:15.000+0000
2019-02-20T10:51:06Z,bb33bd185e5fef973942e3254839f4a83257dfa3,SYNCOPE-1438,2019-02-20T10:52:12.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-02-20T10:34:24.000+0000
2019-02-20T10:41:51Z,f3db2f09a6c3814e2b797856f25664a59bfbed34,SYNCOPE-1437,2019-02-20T10:42:46.000+0000,[2.1.3],[2.1.4  3.0.0],2019-02-19T16:44:43.000+0000
2019-03-04T10:48:37Z,d00eec5890038e9f766b8e9e03563cb57ff4779e,SYNCOPE-1432,2019-03-04T10:49:41.000+0000,[2.1.3],[2.1.4  3.0.0],2019-02-05T08:11:57.000+0000
2019-02-05T16:26:08Z,58976e0280a4e47584d0f9cb8235676c92851d02,SYNCOPE-1431,2019-02-05T16:28:40.000+0000,[2.1.3],[2.1.4  3.0.0],2019-02-05T08:08:05.000+0000
2019-01-30T07:09:30Z,0e45c389c7c7f5108a62efafe36ded422fc664bd,SYNCOPE-1430,2019-01-29T17:01:09.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-01-28T14:26:39.000+0000
2019-01-29T16:43:07Z,dae2c2a442a928c351bbe25a9bc3b652a706e36c,SYNCOPE-1430,2019-01-29T17:01:09.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-01-28T14:26:39.000+0000
2019-01-30T15:02:24Z,c7349473e7eca5fbedab9567edef17c48c3ae2cf,SYNCOPE-1429,2019-01-30T15:31:17.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-01-25T16:40:18.000+0000
2019-01-25T15:25:00Z,9f3b3e39f820d6d1445206e77323b5140d744179,SYNCOPE-1428,2019-01-25T15:26:07.000+0000,[2.0.12  2.1.3],[2.0.13  2.1.4  3.0.0],2019-01-25T14:39:09.000+0000
2019-01-17T14:18:51Z,39b760fa11d662951ddbdf78e5d9836e7fe3cfb0,SYNCOPE-1425,2019-01-17T14:22:39.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2019-01-17T14:07:17.000+0000
2018-12-21T10:55:16Z,10f5c397dcc40e98e09ef025fd6a3de92a30f2f4,SYNCOPE-1420,2018-12-21T11:03:33.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-21T10:09:28.000+0000
2018-12-21T07:51:10Z,4a293350217a4c065781be22d8f8067729ab4df9,SYNCOPE-1419,2018-12-20T23:22:15.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-20T13:42:03.000+0000
2018-12-20T23:20:32Z,deb442998b579a3855940b26c16a5aedcdc6ab05,SYNCOPE-1419,2018-12-20T23:22:15.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-20T13:42:03.000+0000
2018-12-20T23:09:43Z,f4adfd2fc6e11ac33c556356db4bc066f4895565,SYNCOPE-1419,2018-12-20T23:22:15.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-20T13:42:03.000+0000
2018-12-20T23:07:31Z,b8114cf1cfadd6a9730adca4301663b4dd86db19,SYNCOPE-1419,2018-12-20T23:22:15.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-20T13:42:03.000+0000
2018-12-14T11:36:19Z,6583c746d7418b992c0615d57f1228d37fece5ce,SYNCOPE-1417,2018-12-14T11:37:31.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-13T16:08:51.000+0000
2018-12-10T14:40:17Z,0377b6b1c39fae4878ed2b77e19d290fe62797da,SYNCOPE-1411,2018-12-10T15:44:02.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-10T11:45:54.000+0000
2018-12-10T14:39:56Z,c1879cc2023a32e7d7b60d8389165ea17024b2e2,SYNCOPE-1411,2018-12-10T15:44:02.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-10T11:45:54.000+0000
2019-01-14T13:40:55Z,eaf70b1fbec40958ab917da88ff0797bd4abe09f,SYNCOPE-1408,2018-12-05T12:26:26.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-05T09:14:04.000+0000
2019-01-14T10:32:31Z,cc1119af3585f1023494f1741a073d1b3bc5ab5b,SYNCOPE-1408,2018-12-05T12:26:26.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-05T09:14:04.000+0000
2018-12-05T12:25:50Z,ae0ee6c4694d6810618d4ea67f72dece518ada5c,SYNCOPE-1408,2018-12-05T12:26:26.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-05T09:14:04.000+0000
2018-12-05T12:25:46Z,5308afcda55cc0ecf4c41e5cecd92d9e2d6fc2e3,SYNCOPE-1407,2018-12-04T15:58:19.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-04T15:35:38.000+0000
2018-12-04T15:56:57Z,e4a6d350373fcde0b0937238badd82c901e0a67a,SYNCOPE-1407,2018-12-04T15:58:19.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-04T15:35:38.000+0000
2018-12-03T12:01:02Z,34de818e2d7b55c3a50150283cbe320df307d526,SYNCOPE-1406,2018-12-03T12:01:55.000+0000,[2.1.2],[2.1.3  3.0.0],2018-12-03T11:56:44.000+0000
2018-12-03T12:01:09Z,569b1b322f0364bc865902d595846a613f393b7a,SYNCOPE-1405,2018-12-03T12:02:10.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-12-03T11:52:25.000+0000
2018-11-28T09:20:48Z,cb6ca74b20e7a80a80d033a0c32e4b9bdfb33861,SYNCOPE-1404,2018-11-28T09:21:22.000+0000,[],[2.1.3  3.0.0],2018-11-28T08:53:06.000+0000
2018-11-20T17:09:10Z,ec294925415c9fc58e81c74551d28176245e76e0,SYNCOPE-1399,2018-11-20T17:10:30.000+0000,[],[2.1.3  3.0.0],2018-11-20T11:30:29.000+0000
2018-11-20T17:06:10Z,85fe179ec541685e28b83cea55cec2b9341a50c3,SYNCOPE-1399,2018-11-20T17:10:30.000+0000,[],[2.1.3  3.0.0],2018-11-20T11:30:29.000+0000
2018-11-05T13:55:26Z,92207203968241d23d5d81fdf43c4923abddbffc,SYNCOPE-1393,2018-11-05T13:56:14.000+0000,[2.0.10  2.1.1],[2.0.12  2.1.3  3.0.0],2018-11-05T11:05:27.000+0000
2018-11-12T15:49:28Z,65756405fe897eb8c0a35db2e1473bd7fb0cecdf,SYNCOPE-1391,2018-11-12T16:06:35.000+0000,[2.0.11  2.1.2],[2.0.12  2.1.3  3.0.0],2018-11-02T12:09:33.000+0000
2018-11-02T10:03:27Z,2a5ebc988df1d1717835f0195e479736791abf91,SYNCOPE-1390,2018-11-02T10:05:02.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-11-01T09:21:48.000+0000
2018-10-24T14:46:22Z,6d285b20104369f1afcb85f162386b1eae827038,SYNCOPE-1389,2018-10-24T15:06:10.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-10-24T10:47:19.000+0000
2018-10-30T16:57:57Z,01e32d2d0ad7a9f171440dcf369da6a8f72a7d4b,SYNCOPE-1388,2018-10-30T17:03:29.000+0000,[2.0.8  2.1.1],[2.0.11  2.1.2  3.0.0],2018-10-23T08:35:18.000+0000
2018-10-23T12:27:01Z,e851b2818d72137f5e049d4b810504f51d6a0d70,SYNCOPE-1387,2018-10-23T12:27:52.000+0000,[2.0.8],[2.0.11  2.1.2  3.0.0],2018-10-23T08:16:41.000+0000
2018-10-12T07:19:16Z,4f797206318fc00f6b0e31f30c98c0da7ea838c0,SYNCOPE-1383,2018-10-11T08:40:46.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-10-11T07:17:02.000+0000
2018-10-11T15:19:34Z,4492950f380214122eb03308c608ac7167f2be78,SYNCOPE-1383,2018-10-11T08:40:46.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-10-11T07:17:02.000+0000
2018-10-11T08:33:00Z,7de2d08eb3ea65a17d3598ef12ea7c654f9b6f6e,SYNCOPE-1383,2018-10-11T08:40:46.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-10-11T07:17:02.000+0000
2018-10-10T06:52:23Z,2c48533389ee654602effc6deb78ae4587d0c3e1,SYNCOPE-1380,2018-10-10T07:02:49.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-10-10T06:18:44.000+0000
2018-10-01T15:04:33Z,da91868697e61412ef53cdee717bc82b6db405bc,SYNCOPE-1377,2018-10-01T15:05:38.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-10-01T12:19:25.000+0000
2018-10-05T14:24:00Z,887349382d460e1fb3096650e5a56317cdd82c1e,SYNCOPE-1376,2018-10-05T15:02:47.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-27T16:47:59.000+0000
2018-09-26T10:00:14Z,7811bdb2d352ecd4f09b971ea38320814c03d0e8,SYNCOPE-1375,2018-09-26T10:14:35.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-26T07:53:45.000+0000
2018-09-20T12:21:41Z,7c94b93a6755f06ece72ac052f156ab7e1d1c46d,SYNCOPE-1374,2018-09-20T08:27:24.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-20T07:55:21.000+0000
2018-09-20T08:23:48Z,23daf200a657dec48530be35b470a055da253c52,SYNCOPE-1374,2018-09-20T08:27:24.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-20T07:55:21.000+0000
2018-09-20T10:58:28Z,382f3f4b9f00a14f66ca52c7ae73f318b151fe4e,SYNCOPE-1373,2018-09-20T11:05:25.000+0000,[2.1.0  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-17T13:42:36.000+0000
2018-09-17T10:11:50Z,3e0c00355bec768d3c798b44111b57dfc709ea16,SYNCOPE-1372,2018-09-17T10:12:21.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2],2018-09-17T10:02:53.000+0000
2018-09-13T11:18:47Z,b8d40101e6b7db1e52c1fe60fae1cca5bfefbbc3,SYNCOPE-1371,2018-09-13T11:19:58.000+0000,[2.1.1],[2.1.2],2018-09-13T11:17:12.000+0000
2018-09-12T15:43:00Z,65cc0891cd052b6b74f25ccc80a2eb734a1b8450,SYNCOPE-1370,2018-09-12T15:43:31.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-12T15:40:05.000+0000
2018-09-05T13:28:47Z,d5ac346976dfbfacb2d0e5aa4d6c604c11e90995,SYNCOPE-1366,2018-09-05T13:53:08.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-05T13:28:05.000+0000
2018-09-05T12:49:02Z,1068667e90c41cb75d5a508d43f953294646c1b6,SYNCOPE-1365,2018-09-05T13:23:56.000+0000,[2.1.1],[2.1.2  3.0.0],2018-09-05T12:45:22.000+0000
2018-09-05T07:33:17Z,63371f7b9fe483dc60c3aaf29c9dde9eb15ecf74,SYNCOPE-1363,2018-09-05T07:33:42.000+0000,[2.1.1],[2.1.2  3.0.0],2018-09-05T07:32:51.000+0000
2018-09-05T06:36:55Z,d5e73caeebdf5c772ebfd5da958b380c1ec6fd5c,SYNCOPE-1362,2018-09-05T06:37:16.000+0000,[2.1.1],[2.1.2  3.0.0],2018-09-05T06:36:15.000+0000
2018-09-05T14:17:38Z,12330a37dc7311cbfdc9dac47029ace56947e4f1,SYNCOPE-1361,2018-09-05T14:18:10.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-04T09:39:19.000+0000
2018-09-03T15:28:14Z,4fec32be0708252585f4cbfbc9dd25b5670d37ff,SYNCOPE-1360,2018-09-03T15:36:56.000+0000,[2.0.10  2.1.1],[2.0.11  2.1.2  3.0.0],2018-09-03T15:22:07.000+0000
2018-08-16T13:11:31Z,ae8fef040c02836b442212bef8f59ecdeed90da5,SYNCOPE-1358,2018-08-16T13:12:03.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-16T13:00:02.000+0000
2018-08-16T11:26:36Z,ea6054a89245ebbe6c26e4ffbf2744800166e977,SYNCOPE-1357,2018-08-16T12:16:19.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-16T10:31:16.000+0000
2018-08-16T11:26:39Z,842a0fb9d8a1c8f5a1dd4e5259b56dc8af3cf7a3,SYNCOPE-1356,2018-08-16T12:16:31.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-16T10:04:03.000+0000
2018-08-13T13:13:12Z,fa27b90c5d180d27fcea60020ca55f729dab2b9e,SYNCOPE-1354,2018-08-13T13:36:26.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-13T13:08:59.000+0000
2018-08-11T11:36:54Z,271a2e77c4f123582d3623922e09f0abc3b83a34,SYNCOPE-1353,2018-08-11T11:37:28.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-11T06:22:37.000+0000
2018-08-10T13:47:36Z,05f70d9d1f2b95f103b1ad7b89ed18ee20aab911,SYNCOPE-1352,2018-08-10T13:59:31.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-10T13:39:54.000+0000
2018-08-09T13:56:05Z,8b8e9336baa5470a457c90e158b8ec9a1402525d,SYNCOPE-1350,2018-08-09T10:13:10.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-09T10:11:29.000+0000
2018-08-09T10:12:17Z,4ea63a376e01ba629446bea13ff77cfb14409048,SYNCOPE-1350,2018-08-09T10:13:10.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-08-09T10:11:29.000+0000
2018-07-31T15:17:06Z,d2ff6e4a44c660c9c9c91524c91eaad5dfe2d473,SYNCOPE-1347,2018-07-31T15:17:30.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-31T15:15:40.000+0000
2018-07-27T07:39:55Z,ae058846238567128f1ff4969e5f8709750c35ae,SYNCOPE-1346,2018-07-27T07:41:02.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-26T15:19:08.000+0000
2018-07-24T15:59:37Z,65fe5336441000fb608783e6348da0acff52de64,SYNCOPE-1344,2018-07-24T16:00:27.000+0000,[2.0.10  2.1.1],[2.0.10  2.1.1  3.0.0],2018-07-24T15:47:02.000+0000
2018-07-26T07:27:01Z,0895017a2447e915eb17c822cad865bab368c2ed,SYNCOPE-1343,2018-07-26T07:08:41.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-24T11:05:56.000+0000
2018-07-25T15:38:35Z,0bb9d9d5645d14da525003a88439c55ee32d0860,SYNCOPE-1343,2018-07-26T07:08:41.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-24T11:05:56.000+0000
2018-07-23T08:20:51Z,ae5a7ff2079610452bc64e7b05519cbfec87839b,SYNCOPE-1342,2018-07-23T08:21:26.000+0000,[2.1.0],[2.1.1  3.0.0],2018-07-22T18:59:41.000+0000
2018-07-20T16:01:32Z,e6cd20ed36666743b878a87185f87fec79826ff8,SYNCOPE-1340,2018-07-21T16:21:02.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-20T15:19:27.000+0000
2018-08-08T15:36:56Z,0dcef9eb4dd040eddad846d8bc8b9b5d578d20b4,SYNCOPE-1339,2018-08-08T15:37:30.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-16T14:45:31.000+0000
2018-07-16T09:48:50Z,6fc42652b2bd0844e9fbd4410143c746c6c038b1,SYNCOPE-1338,2018-07-16T09:49:32.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-16T09:46:46.000+0000
2018-07-13T14:57:53Z,d6d8da66b3a604ecd518c986c580c56a0273ab1e,SYNCOPE-1337,2018-07-13T14:58:56.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-13T08:29:52.000+0000
2018-07-31T14:37:31Z,cf95a35fabffebd73adde14a481508e31b7d29a1,SYNCOPE-1335,2018-07-11T10:16:13.000+0000,[2.1.0],[2.1.1  3.0.0],2018-07-11T10:14:29.000+0000
2018-07-11T10:15:16Z,e03d47ef56fbbaf2ff1e2f95b24a877ed040d52a,SYNCOPE-1335,2018-07-11T10:16:13.000+0000,[2.1.0],[2.1.1  3.0.0],2018-07-11T10:14:29.000+0000
2018-07-10T15:38:04Z,75c84ce15e480b1874925d6d9a90cb8668454cbf,SYNCOPE-1334,2018-07-10T15:39:20.000+0000,[2.1.0],[2.1.1  3.0.0],2018-07-10T09:31:29.000+0000
2018-07-10T10:24:28Z,2c3754b2c195e414dd1c6c28604a6a94b635fed2,SYNCOPE-1333,2018-07-10T08:52:45.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-09T15:10:03.000+0000
2018-07-10T09:00:36Z,2d233d197ce9e5bac10b2c0f422221c6c36ed343,SYNCOPE-1333,2018-07-10T08:52:45.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-09T15:10:03.000+0000
2018-07-10T08:52:24Z,3a0afb47b4ef81fae1f8e208e720cc5880b9063e,SYNCOPE-1333,2018-07-10T08:52:45.000+0000,[2.0.9  2.1.0],[2.0.10  2.1.1  3.0.0],2018-07-09T15:10:03.000+0000
2018-07-06T13:15:11Z,241fee756f19a0a02bb331b0755764e3af692b56,SYNCOPE-1331,2018-07-06T13:32:39.000+0000,[2.1.0],[2.1.1],2018-07-06T13:14:27.000+0000
2018-07-02T09:46:16Z,c09def901e2eef9dfe6cd598c3c561c839814f42,SYNCOPE-1330,2018-07-02T09:48:27.000+0000,[],[],2018-07-02T09:14:48.000+0000
2018-06-22T15:21:54Z,6a9d557545eb9e35910af4cc32668f649b61cdbe,SYNCOPE-1326,2018-06-22T15:23:20.000+0000,[2.0.8  2.1.0],[2.0.9  2.1.0],2018-06-22T13:54:03.000+0000
2018-06-20T12:54:28Z,f888913d14f8c1dd82d2ef553a07015c77a14770,SYNCOPE-1321,2018-06-20T12:59:42.000+0000,[2.0.8],[2.0.9  2.1.0],2018-06-11T12:31:19.000+0000
2018-06-01T15:22:06Z,17830e5aa09660be4949589d2c196670a4d57ff7,SYNCOPE-1320,2018-06-01T15:25:02.000+0000,[2.0.8],[2.0.9  2.1.0],2018-06-01T14:23:56.000+0000
2018-05-29T12:48:44Z,37bea639c8ee45716734c6cd8116df4cd5afb590,SYNCOPE-1319,2018-05-29T12:49:31.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-29T12:43:26.000+0000
2018-06-11T07:13:18Z,26e2b9dd3c7f01eb0572883ae0877d29fbdf53fa,SYNCOPE-1318,2018-05-29T10:20:20.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-29T09:45:15.000+0000
2018-05-29T11:55:08Z,3ee0535c5208b9268cf4fffbb4700fcb49a5ddd0,SYNCOPE-1318,2018-05-29T10:20:20.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-29T09:45:15.000+0000
2018-05-29T10:27:54Z,65d63c3b4a467b11e9a4acddb3d9d45ae020b6fb,SYNCOPE-1318,2018-05-29T10:20:20.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-29T09:45:15.000+0000
2018-05-29T10:18:56Z,d9c58a831337be619ebdf2bfd88b5f84fd884519,SYNCOPE-1318,2018-05-29T10:20:20.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-29T09:45:15.000+0000
2018-05-29T08:51:50Z,6d38f3c50119f2fb7c2da6a7717e38250e5dd178,SYNCOPE-1315,2018-05-28T13:17:40.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-22T07:41:25.000+0000
2018-05-28T13:17:07Z,e1515673509aac06d818e025ff05b821ab0d7798,SYNCOPE-1315,2018-05-28T13:17:40.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-22T07:41:25.000+0000
2018-05-24T10:27:35Z,ba2f7fbdcf64cd826dfbc28b91b3282d7c83dc69,SYNCOPE-1314,2018-05-24T10:28:23.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-22T07:37:11.000+0000
2018-05-28T11:09:12Z,21bb4dc3cac6365d2823a8b7fab0aea11103ea03,SYNCOPE-1312,2018-05-28T11:09:44.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-15T15:30:30.000+0000
2018-05-29T09:40:34Z,057d13fb694c3e2178f2d960e9f33d3eb4ef2196,SYNCOPE-1309,2018-05-29T09:41:59.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-11T06:27:26.000+0000
2018-05-07T15:23:10Z,7cdeb5fa8aaae5e39e2453e7bd9fe057afc886b4,SYNCOPE-1308,2018-05-07T15:24:55.000+0000,[2.0.8],[2.0.9  2.1.0],2018-05-03T15:00:09.000+0000
2018-04-26T12:13:06Z,761399c46b69b5e27e5ff0e47a7ed5ddb6489f3b,SYNCOPE-1307,2018-04-26T12:13:42.000+0000,[2.0.8],[2.0.9  2.1.0],2018-04-26T07:00:36.000+0000
2018-04-26T11:30:28Z,c0e2aedef5360101a78fb0932c7ea16fc2ae3c8b,SYNCOPE-1306,2018-04-26T11:31:44.000+0000,[2.0.8],[2.0.9  2.1.0],2018-04-24T14:08:43.000+0000
2018-04-23T14:29:00Z,9e9002f4b2ae437b4c10f32d3dab513f2e3d9bb5,SYNCOPE-1304,2018-04-23T14:29:47.000+0000,[2.0.8],[2.0.9  2.1.0],2018-04-23T13:21:50.000+0000
2018-06-25T08:39:39Z,909af68081e1efdfc04fd19e1a298cb621477e08,SYNCOPE-1303,2018-04-23T10:13:14.000+0000,[],[2.0.9  2.1.0],2018-04-23T09:35:02.000+0000
2018-04-23T10:11:51Z,a2dfa8f01ec6de9a2e81d9ccf0b47a3dd7162b5e,SYNCOPE-1303,2018-04-23T10:13:14.000+0000,[],[2.0.9  2.1.0],2018-04-23T09:35:02.000+0000
2018-04-13T07:25:23Z,24f789932141ee05fa12d81eca9d43178953f508,SYNCOPE-1301,2018-04-13T07:50:41.000+0000,[2.0.8],[2.0.9  2.1.0],2018-04-12T06:17:13.000+0000
2018-04-10T14:10:08Z,e8e189aaf32fd8526469d3528c6c38efe38d372f,SYNCOPE-1298,2018-04-10T14:17:17.000+0000,[2.0.8],[2.0.9  2.1.0],2018-04-10T12:07:48.000+0000
2018-06-08T13:36:36Z,d5cfe764bf8853c4f87d74e7b5772da4f9083338,SYNCOPE-1297,2018-06-08T14:25:22.000+0000,[2.0.8],[2.0.9  2.1.0],2018-04-09T09:24:30.000+0000
2018-04-09T06:19:57Z,2dbd5993a0678da0b606dea4099bd493006d6cf3,SYNCOPE-1296,2018-04-09T06:31:56.000+0000,[],[2.1.0],2018-04-06T18:36:47.000+0000
2018-04-04T15:48:02Z,95ee2ffe810336f3bf785e2d231fa15e71630919,SYNCOPE-1294,2018-04-04T15:50:07.000+0000,[2.0.8  2.1.0],[2.0.9  2.1.0],2018-04-04T15:26:09.000+0000
2018-04-05T08:17:26Z,a8ae113d902e33ba27e03dd5d250187868f45c41,SYNCOPE-1293,2018-04-05T08:17:51.000+0000,[1.2.11  2.0.8],[1.2.12  2.0.9  2.1.0],2018-04-04T12:05:52.000+0000
2018-04-03T09:49:58Z,a8eff1cc21d4dd6768472dde169836793080f7a1,SYNCOPE-1291,2018-04-03T09:50:37.000+0000,[2.0.8],[2.0.9  2.1.0],2018-04-03T09:15:50.000+0000
2018-04-05T14:39:18Z,51c60a7a134f7680b7f604f34b1a9c4acc5ddab6,SYNCOPE-1288,2018-04-05T14:40:01.000+0000,[],[2.0.9  2.1.0],2018-03-29T13:41:27.000+0000
2018-03-22T10:44:52Z,2dfefb487d3e4b2fd59595a4e696b1dbcf78e318,SYNCOPE-1285,2018-03-22T10:45:33.000+0000,[2.0.8],[2.0.9  2.1.0],2018-03-22T08:24:33.000+0000
2018-03-15T14:01:11Z,d52636ba8e64426a32e23a88d2072c29e4ec1307,SYNCOPE-1282,2018-03-15T14:07:29.000+0000,[2.0.8],[2.0.9  2.1.0],2018-03-15T13:15:56.000+0000
2018-02-20T11:54:33Z,9574ada8c2893ebe4ffd87e9e4832df1cd534f05,SYNCOPE-1276,2018-02-20T11:55:16.000+0000,[2.0.7],[2.0.8  2.1.0],2018-02-13T14:28:25.000+0000
2018-02-21T11:57:34Z,0ee44d88c519da839d0310bc6c1d74d9376054fc,SYNCOPE-1275,2018-02-21T12:00:34.000+0000,[2.0.7],[2.0.8  2.1.0],2018-02-12T16:56:56.000+0000
2018-02-12T10:40:29Z,be4f145f917117f9d69e084433d90ca56691d870,SYNCOPE-1272,2018-02-12T10:41:18.000+0000,[2.0.7],[2.0.8  2.1.0],2018-02-09T14:40:22.000+0000
2018-02-22T16:50:23Z,ccca7072caaa538c28818195e6d744fc61ac1a6e,SYNCOPE-1269,2018-02-22T16:50:59.000+0000,[2.0.7],[2.0.8  2.1.0],2018-02-06T10:18:30.000+0000
2018-01-30T15:52:04Z,f278a97a2935bcc982881483aa3cba005d94de88,SYNCOPE-1266,2018-01-30T15:53:47.000+0000,[2.0.7],[2.0.8  2.1.0],2018-01-30T11:04:25.000+0000
2018-01-30T15:45:43Z,847167650d22669f0e254752c4fecf3525512631,SYNCOPE-1266,2018-01-30T15:53:47.000+0000,[2.0.7],[2.0.8  2.1.0],2018-01-30T11:04:25.000+0000
2018-01-29T15:39:41Z,78af1481312217b78cb41bd1dc292c6e25324c23,SYNCOPE-1265,2018-01-29T15:43:48.000+0000,[2.0.7],[2.0.8  2.1.0],2018-01-29T11:53:47.000+0000
2018-01-22T10:43:05Z,520cdca7cd744dc6919c8d28acabe58fc5b19491,SYNCOPE-1263,2018-01-22T10:37:24.000+0000,[2.0.7],[2.0.8  2.1.0],2018-01-22T10:19:53.000+0000
2018-01-22T10:36:39Z,227f085161f3027d1ab200a07d8460f3a644b75f,SYNCOPE-1263,2018-01-22T10:37:24.000+0000,[2.0.7],[2.0.8  2.1.0],2018-01-22T10:19:53.000+0000
2018-01-04T07:15:32Z,e153982e45918bfb3454c193c87d1a784ee415cb,SYNCOPE-1261,2018-01-04T07:16:57.000+0000,[2.0.7],[2.0.8  2.1.0],2018-01-04T06:42:32.000+0000
2017-12-28T13:19:00Z,92f4d703850002f9ead3c91d0f05dbf2f889c865,SYNCOPE-1257,2017-12-28T13:19:53.000+0000,[2.0.7],[2.0.8  2.1.0],2017-12-28T09:24:29.000+0000
2018-04-03T11:13:07Z,8ef021e23f67027dda842559029fd65788beb865,SYNCOPE-1254,2018-04-04T07:19:41.000+0000,[2.1.0],[2.1.0],2017-12-20T07:51:17.000+0000
2017-12-18T10:44:48Z,d783a23de5f2d4f13f9922d11518c9e31f520f1c,SYNCOPE-1253,2017-12-18T10:45:20.000+0000,[2.0.6],[2.0.7  2.1.0],2017-12-18T10:44:09.000+0000
